,COLUMN HEADER,VAC
1,Q2.1_1_TEXT,he____about_the…
2,Q2.1_2_TEXT,he____about_the…
3,Q2.2_1_TEXT,it____across_the…
4,Q2.2_2_TEXT,it____across_the…
5,Q2.3_1_TEXT,she____after_the…
6,Q2.3_2_TEXT,she____after_the…
7,Q2.4_1_TEXT,it____against_the…
8,Q2.4_2_TEXT,it____against_the…
9,Q2.5_1_TEXT,it____among_the…
10,Q2.5_2_TEXT,it____among_the…
11,Q2.6_1_TEXT,he____around_the…
12,Q2.6_2_TEXT,he____around_the…
13,Q2.7_1_TEXT,it____as_the…
14,Q2.7_2_TEXT,it____as_the…
15,Q2.8_1_TEXT,she____at_the…
16,Q2.8_2_TEXT,she____at_the…
17,Q2.9_1_TEXT,he____between_the…
18,Q2.9_2_TEXT,he____between_the…
19,Q2.10_1_TEXT,it____for_the…
20,Q2.10_2_TEXT,it____for_the…
21,Q2.11_1_TEXT,she____in_the…
22,Q2.11_2_TEXT,she____in_the…
23,Q2.12_1_TEXT,it____into_the…
24,Q2.12_2_TEXT,it____into_the…
25,Q2.13_1_TEXT,he____like_the…
26,Q2.13_2_TEXT,he____like_the…
27,Q2.14_1_TEXT,she____of_the…
28,Q2.14_2_TEXT,she____of_the…
29,Q2.15_1_TEXT,it____off_the…
30,Q2.15_2_TEXT,it____off_the…
31,Q2.16_1_TEXT,it____over_the…
32,Q2.16_2_TEXT,it____over_the…
33,Q2.17_1_TEXT,he____through_the…
34,Q2.17_2_TEXT,he____through_the…
35,Q2.18_1_TEXT,it____towards_the…
36,Q2.18_2_TEXT,it____towards_the…
37,Q2.19_1_TEXT,she____under_the…
38,Q2.19_2_TEXT,she____under_the…
39,Q2.20_1_TEXT,it____with_the…
40,Q2.20_2_TEXT,it____with_the…
41,Q33_1_TEXT,it____about_the…
42,Q33_2_TEXT,it____about_the…
43,Q35_1_TEXT,she____across_the…
44,Q35_2_TEXT,she____across_the…
45,Q37_1_TEXT,it____after_the…
46,Q37_2_TEXT,it____after_the…
47,Q39_1_TEXT,he____against_the…
48,Q39_2_TEXT,he____against_the…
49,Q41_1_TEXT,she____among_the…
50,Q41_2_TEXT,she____among_the…
51,Q43_1_TEXT,it____around_the…
52,Q43_2_TEXT,it____around_the…
53,Q45_1_TEXT,he____as_the…
54,Q45_2_TEXT,he____as_the…
55,Q47_1_TEXT,it____at_the…
56,Q47_2_TEXT,it____at_the…
57,Q49_1_TEXT,it____between_the…
58,Q49_2_TEXT,it____between_the…
59,Q51_1_TEXT,she____for_the…
60,Q51_2_TEXT,she____for_the…
61,Q53_1_TEXT,it____in_the…
62,Q53_2_TEXT,it____in_the…
63,Q55_1_TEXT,he____into_the…
64,Q55_2_TEXT,he____into_the…
65,Q57_1_TEXT,it____like_the…
66,Q57_2_TEXT,it____like_the…
67,Q59_1_TEXT,it____of_the…
68,Q59_2_TEXT,it____of_the…
69,Q61_1_TEXT,she____off_the…
70,Q61_2_TEXT,she____off_the…
71,Q63_1_TEXT,he____over_the…
72,Q63_2_TEXT,he____over_the…
73,Q65_1_TEXT,it____through_the…
74,Q65_2_TEXT,it____through_the…
75,Q67_1_TEXT,she____towards_the…
76,Q67_2_TEXT,she____towards_the…
77,Q69_1_TEXT,it____under_the…
78,Q69_2_TEXT,it____under_the…
