	drive	take	direct	push	spin	show	wave	move	saw	see	hear	put	place	walk	call	play	present	facilitate	screw
drive	[0]	[0.0018656716417910447, 0, 0, 0]	[0.0004562043795620438, 0, 0, 0]	[6.578947368421052e-05, 0, 0, 0]	[4.75511174512601e-05, 0, 0, 0]	[4.3254466023616936e-05, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
take	[0, 0, 0, 0]	[0]	[0.0006038647342995169, 0, 0, 0]	[6.819421713038734e-05, 0, 0, 0]	[4.879476920074168e-05, 0, 0, 0]	[4.428109639994686e-05, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
direct	[0, 0, 0, 0]	[0, 0, 0, 0]	[0]	[7.687576875768758e-05, 0, 0, 0]	[5.308419152776303e-05, 0, 0, 0]	[4.7785157929946956e-05, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
push	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0]	[0.00017152658662092623, 0, 0, 0]	[0.00012627857052658164, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
spin	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0]	[0.0004786979415988511, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
show	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0.0002760143527463428]	[0, 0, 0, 0]	[0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0.0014064697609001407]	[0, 0, 0, 0.00015044380923724988]
wave	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
move	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
saw	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0]	[0, 0, 0, 0]	[0, 0, 0.00011825922421948912, 0]	[0, 0, 9.137426900584795e-05, 0]	[0, 0, 7.400828892835997e-05, 0]	[0, 0, 3.7037037037037037e-05, 0]	[0, 0, 3.187149413564508e-05, 0]	[0, 0, 2.684131415074082e-05, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
see	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0]	[0, 0, 0.00013144058885383806, 0]	[0, 0, 9.904912836767037e-05, 0]	[0, 0, 7.896399241945672e-05, 0]	[0, 0, 3.8237993270113186e-05, 0]	[0, 0, 3.275681341719078e-05, 0]	[0, 0, 2.746649088112503e-05, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
