	drive	take	direct	push	spin	show	wave	move	saw	see	error:3599	hear	put	place	walk	call	play	present	facilitate	screw
drive	0	536.0	2192.0	15200.0	21030.0	23119.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
take	0	0	1656.0	14664.0	20494.0	22583.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
direct	0	0	0	13008.0	18838.0	20927.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
push	0	0	0	0	5830.0	7919.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spin	0	0	0	0	0	2089.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
show	0	0	0	3623.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711.0	6647.0
wave	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
move	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
saw	0	0	0	0	0	0	0	0	0	0	848.0	8456.0	10944.0	13512.0	27000.0	31376.0	37256.0	0	0	0
see	0	0	0	0	0	0	0	0	0	0	0	7608.0	10096.0	12664.0	26152.0	30528.0	36408.0	0	0	0
error:3599	0	0	0	0	0	0	0	0	0	0	0	6624.0	9112.0	11680.0	25168.0	29544.0	35424.0	0	0	0
hear	0	0	0	0	0	0	0	0	0	0	0	0	0	2568.0	16056.0	20432.0	26312.0	0	0	0
put	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13488.0	17864.0	23744.0	0	0	0
place	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4376.0	10256.0	0	0	0
walk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5880.0	0	0	0
call	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4376.0	0	0	0
play	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
present	0	0	0	2912.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5936.0
facilitate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3024.0
screw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
