	fall	roll	fly	slip	run	jump	sled	come	drive	bounce	slide	rid	rain	flow	error:121	hover	go	stumble	move	walk	hide	flush	chop	eat	gulp	drink	beat	error:185	smash	set	put	turn	dip	sprawl	meander	disappear	stoop	scream	drop	error:464	lay	take	echo	glide	error:514	get	error:519	coast	trickle	hang	slush	look	error:582	drift	rush	tumble	melt	crash	break	crawl	error:733	error:754	pass	flood	sink	pour	lie	error:913	push	hand	error:931	creep	slow	pull	skid	error:1102	bring	swallow	drip	error:1216	hop	step	shoot	hurry	be	climb	star	error:1314	error:1315	error:1317	error:1323	grumble	wander	error:1354	lead	shout	swim	belong	show	stand	error:1429	wink	error:1430	float	dance	felt	error:1479	error:1504	skip	make	tear	error:1528	error:1551	linger	scroll	sit	settle	plunge	slither	write	error:1937	trip	strive	hike	error:2004	burn	slit	leap	reach	touch	saw	error:2063	skate	error:2078	blow	watch	spit	cry	error:2129	clatter	road	feel	drown
fall	0	1.5	1.7142857142857142	2.125	1.8846153846153846	1.96	0	1.3076923076923077	2.0	3.3333333333333335	1.5925925925925926	4.0	2.0	2.5	3.0	5.0	2.0434782608695654	1.8	1.8571428571428572	2.0	4.0	5.0	1.0	2.0	3.0	4.0	5.0	6.0	5.0	2.5	3.0	0	0	0	0	1.0	2.0	3.0	1.6	0	1.0	1.0	0	1.0	3.0	1.0	3.0	0	0	2.0	0	2.4	0	2.0	2.0	2.0	2.0	1.875	0	0	3.0	0	0	0	1.6666666666666667	1.0	0	0	2.0	0	1.0	0	0	1.0	1.0	1.0	3.0	1.0	0	1.0	3.0	1.0	2.0	3.0	2.5	2.0	4.0	0	1.0	2.0	0	0	1.0	0	0	0	0	0	0	0	4.0	6.0	1.0	0	0	0	0	1.0	3.0	0	0	4.0	0	1.0	2.0	2.0	2.0	0	0	0	0	1.0	0	0	3.0	0	0	0	0	0	0	0	0	1.0	3.0	0	0	0	4.0	3.0	0	0	1.0
roll	1.7826086956521738	0	1.5	1.4285714285714286	1.9444444444444444	1.5666666666666667	0	1.5	2.4285714285714284	2.0	1.8695652173913044	3.5	3.0	3.25	0	0	2.3448275862068964	2.3333333333333335	2.4285714285714284	2.0	0	3.0	0	1.0	2.0	3.0	4.0	5.0	4.0	0	2.0	2.5	0	0	0	3.0	1.0	1.5	2.1666666666666665	0	0	3.0	0	3.0	5.0	3.0	2.0	0	1.0	1.5	0	1.8	0	1.0	2.75	1.25	1.0	2.0	0	2.0	1.0	1.0	0	1.0	1.5	3.0	1.0	0	0	0	0	0	0	0	1.0	2.0	2.0	2.0	0	0	1.5	0	1.0	2.0	1.3333333333333333	2.0	2.0	0	0	1.0	2.0	0	3.0	0	1.0	0	1.0	0	2.0	3.0	0	0	5.0	0	0	1.0	0	0	4.0	0	1.0	3.0	0	0	0	0	0	0	0	0	1.0	0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	0	3.0	0	2.0	0	4.0	0	0	0	1.0	0	0	0	2.0
fly	1.5	0	0	1.0	1.3333333333333333	2.0	0	0	2.0	0	1.5	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slip	1.0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run	2.0	1.3333333333333333	1.0	1.0	0	1.4	0	0	2.0	1.0	2.5	0	0	1.0	0	2.0	1.3333333333333333	0	1.0	2.0	0	1.5	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
jump	2.6666666666666665	2.2	5.0	0	2.111111111111111	0	0	5.0	3.0	1.0	2.3333333333333335	2.0	0	3.5	2.0	4.0	2.6	1.5	0	2.0	0	3.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	1.5	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	1.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	7.0	2.0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0
sled	1.0	0	0	0	1.0	4.0	0	0	2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
come	1.5	1.5	1.5	0	1.0	2.0	0	0	1.0	2.0	1.6666666666666667	0	0	0	0	0	2.5	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
drive	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bounce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
