	fall	roll	fly	slip	run	jump	sled	come	drive	bounce	slide	rid	rain	flow	hover	go	stumble	move	walk	hide	flush	chop	eat	gulp	drink	beat	smash	set	put	turn	dip	sprawl	meander	disappear	stoop	scream	drop	lay	take	echo	glide	get	coast	trickle	hang	slush	look	drift	rush	tumble	melt	crash	break	crawl	pass	flood	sink	pour	lie	push	hand	creep	slow	pull	skid	bring	swallow	drip	hop	step	shoot	hurry	be	climb	star	grumble	wander	lead	shout	swim	belong	show	stand	wink	float	dance	felt	skip	make	tear	linger	scroll	sit	settle	plunge	slither	write	trip	strive	hike	burn	slit	leap	reach	touch	saw	skate	blow	watch	spit	cry	clatter	road	feel	drown
fall	0.0	0.008651927903062743	0.0031317250180187494	0.0017910484728051266	0.006877358310297605	0.008010670392072297	0.0	0.004664797263787443	0.001987487298477223	0.000216579431658437	0.009656422183606173	8.050233456770246e-05	0.00013267878466233248	0.00016847294265496217	6.828735318219065e-05	0.006543506527392663	0.0009504284236539927	0.0012889437872299298	0.0023837518512236987	5.5444666223109334e-05	7.822889775483064e-05	0.0006968641114982578	0.00023446658851113716	8.950948800572861e-05	7.428868583314762e-05	6.595000989250148e-05	0.0001473726083482779	0.0003303807803391081	0.0008679930770742452	0.0	0.0	0.0	0.0	0.00042517006802721087	0.00020828993959591752	0.00010399334442595674	0.003450289756983659	0.00078064012490242	0.0005813953488372093	0.0	0.00024838549428713363	0.0005070993914807302	0.0	0.0	0.0004846640806432229	0.0	0.0007523506979400339	0.00031191538296157945	0.0010315633824104645	0.0009087175712450383	0.00015644555694618273	0.0020622126729086376	0.0	0.0	0.0	0.0	0.0021483808027980287	9.790483649892304e-05	0.0	0.0001675603217158177	0.0	0.0	0.0	0.00033422459893048126	0.00041841004184100416	0.00024426451083972757	0.00037965072133637056	0.0	5.984440454817474e-05	0.0011750881316098707	0.00023741690408357076	5.05382321726386e-05	0.0001603162723457123	0.00016736401673640169	0.00028445111632885266	0.0	0.00020161290322580645	0.0	0.0	0.0	0.0	0.0	0.0	4.6733339564445275e-05	0.0	0.0	0.0	0.00015316281206922958	0.0	0.0	0.0002789400278940028	8.511362669163333e-05	0.0001635858007524947	0.00011363636363636364	0.0	0.0	0.0	0.001658374792703151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.759757895553658e-05	0.0	0.0	0.0	0.00020903010033444816	0.0	0.0	0.00011279043537108053
roll	0.009231768291281427	0.0	0.0025487886310350248	0.0027885549112962346	0.008295844251358939	0.009147183738236635	0.0	0.0015256266805246308	0.0014357700265080172	5.24493863421798e-05	0.0074112134125609505	0.000136070603806941	9.98302885095338e-05	0.0003190343622516257	0.0	0.006814579655520181	0.0003326273861530096	0.0015772255264005367	0.0045070496036453255	0.0	0.00032598602874817366	0.0	0.00035335689045936394	0.00010270103728047654	8.315316813570597e-05	7.284382284382284e-05	0.0001717148621440018	0.0	8.574123295892996e-05	0.001525961584395971	0.0	0.0	0.0	0.00018996960486322188	0.0003856536829926726	0.00044154959326123317	0.0015538809034995784	0.0	0.0002934793331360363	0.0	0.00011637379262190155	0.0004041434000134748	0.0	9.751340809361287e-05	0.00039961476021070923	0.0	0.0013483361800402682	0.00038522147454837747	0.0004273525100977687	0.0013226575250754606	0.0002189621195533173	0.0004882933752924979	0.0	0.0003736098416639268	0.0	0.0005319148936170213	0.0003188378469721113	5.255136896316149e-05	0.00042158516020236085	0.0	0.0	0.0	0.0	0.0	0.0005324813631522897	0.00028114611459066695	0.00023781212841854935	0.0	0.0005970129843589472	0.0	0.00039936102236421724	0.00014283673760891302	0.001456001218967533	0.0005939517677702499	0.00015820281601012498	0.0	0.00013952839402818474	0.00043840420868040335	0.0	0.0014878840965797486	0.0	0.00010387451958034694	7.160246312473149e-05	0.0	0.0	0.0	0.0005040322580645161	0.0001329964090969544	0.0	9.527439024390244e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001562744178777934	0.00012080212611741966	0.00020729684908789387	0.0007117437722419929	0.00020483408439164277	8.097165991902834e-05	0.0	0.00010472300764477956	0.00016894745734076703	5.8343057176196036e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.847365829640571e-05
fly	0.00023048866772943142	0.0	0.0	0.00026295030239284776	0.00041925184511578057	0.0003552044752189246	0.0	0.0	0.00011339154099104207	0.0	0.00037254001995326797	0.0	0.0	0.0002785515320334262	0.0	9.79431929480901e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.51022349025202e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001443001443001443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
slip	0.00030731407498463427	0.0	0.0	0.0	0.0001255808112520407	9.264406151565684e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006037449571550546	0.0	0.0	0.0	0.0	0.0003652300949598247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019654088050314466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
run	0.0006111208711320746	0.000962206907799549	0.001422475106685633	0.0002092925910422771	0.0	0.0012304299137323275	0.0	0.0	0.00017857142857142857	0.00037764350453172205	0.0002733376176360075	0.0	0.0	0.0006157635467980296	0.00013175230566534913	0.0006067854283711253	0.0	0.0003401360544217687	0.0001067463706233988	0.0	0.0005543582815620826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004807692307692308	0.0	0.0	0.0	0.0	0.0	0.00020768431983385254	0.0	0.0	0.0	0.0	0.0	0.00015169902912621358	0.0	0.0	0.00022831050228310502	0.0	0.0005896226415094339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.985156811108451e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014277555682467162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000429553264604811	0.0	0.0	0.0
jump	0.00042982331383508836	0.0011271128380113955	5.628412224911353e-05	0.0	0.0014780889782603078	0.0	0.0	0.00010735373054213633	0.00012102142079148009	6.596741209842338e-05	0.0005070120903947852	0.00020470829068577277	0.0	0.00038646649830956096	7.547739452034116e-05	0.0008284049429289618	0.00020856249944133196	0.0	0.0006065633661383051	0.0	0.00011531365313653136	0.0	0.0	0.0	0.0	0.0	0.0	0.0002892681515765114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005162622612287042	0.0003158559696778269	0.0	0.00030356761533721014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023025558369790466	0.0	0.0	0.0	0.0	0.0	0.0	0.00017705382436260624	0.0	0.0	0.0	0.00020973154362416107	0.00024324981756263683	6.129704548240775e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.911805363560962e-05	0.0	0.0	5.88200694076819e-05	0.00038880248833592535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010071507704703394	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sled	0.00018601190476190475	0.0	0.0	0.0	0.00022851919561243144	6.782419967444384e-05	0.0	0.0	9.84251968503937e-05	7.807620237351655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
come	0.0004427334156475218	0.0002858134290596628	0.0015307510727370186	0.0	0.0004068348250610252	0.0006678916112273438	0.0	0.0	0.00017289073305670817	0.00011859582542694497	0.0007394890681948535	0.0	0.0	0.0	0.0	0.00022909462391981767	0.00010921799912625601	0.00016572754391779913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015245932832270955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016189088554314392	0.0	0.0002232142857142857	0.0	0.0	0.00032292748721104796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00030339805825242716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017006802721088434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.450228156160216e-05	0.0	0.0	0.0	0.0	0.0	0.0004127115146512588	0.0	0.0	0.0002134016218523261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
drive	0.0	0.0	0.0	0.0	0.0	0.0005165289256198347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.168972686214065e-05	0.0001466275659824047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bounce	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
