	look	seem	think	come	go	dress	act	pass	run	move	sing	talk	speak	dance	eat	drink	walk	behave
look	[0]	[1, 0, 0]	[0.5, 0, 0]	[0.3333333333333333, 0, 0]	[0.25, 0, 0]	[0.16666666666666666, 0, 0]	[0.14285714285714285, 0, 0]	[0.125, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
seem	[0, 0, 0]	[0]	[1, 0, 0]	[0.5, 0, 0]	[0.3333333333333333, 0, 0]	[0.2, 0, 0]	[0.16666666666666666, 0, 0]	[0.14285714285714285, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
think	[0, 0, 0]	[0, 0, 0]	[0]	[1, 0, 0]	[0.5, 0, 0]	[0.25, 0, 0]	[0.2, 0, 0]	[0.16666666666666666, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
come	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[1, 0, 0]	[0.3333333333333333, 0, 0]	[0.25, 0, 0]	[0.2, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
go	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0.5, 0, 0]	[0.3333333333333333, 0, 0]	[0.25, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
dress	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[1, 0, 0]	[0.5, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
act	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[1, 0, 0]	[0, 0, 0.3333333333333333]	[0, 1, 0]	[0, 0.5, 0]	[0, 0.3333333333333333, 0]	[0, 0.25, 0]	[0, 0.2, 0]	[0, 0.16666666666666666, 0]	[0, 0.14285714285714285, 0]	[0, 0.125, 0]	[0, 0, 1]
pass	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
run	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 1, 0]	[0, 0.5, 0]	[0, 0.3333333333333333, 0]	[0, 0.25, 0]	[0, 0.2, 0]	[0, 0.16666666666666666, 0]	[0, 0.14285714285714285, 0]	[0, 0, 0]
move	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 1, 0]	[0, 0.5, 0]	[0, 0.3333333333333333, 0]	[0, 0.25, 0]	[0, 0.2, 0]	[0, 0.16666666666666666, 0]	[0, 0, 0]
sing	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 1, 0]	[0, 0.5, 0]	[0, 0.3333333333333333, 0]	[0, 0.25, 0]	[0, 0.2, 0]	[0, 0, 0]
talk	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 1, 0]	[0, 0.5, 0]	[0, 0.3333333333333333, 0]	[0, 0.25, 0]	[0, 0, 0]
speak	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0.5]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 1, 0]	[0, 0.5, 0]	[0, 0.3333333333333333, 0]	[0, 0, 0]
dance	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 1, 0]	[0, 0.5, 0]	[0, 0, 0]
eat	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 1, 0]	[0, 0, 0]
drink	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 0, 0]
walk	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]
behave	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 1]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]
