	look	seem	think	come	go	dress	act	pass	run	move	sing	talk	speak	dance	eat	drink	walk	behave
look	[0]	[0.00034638032559750607, 0, 0]	[0.0001372495196266813, 0, 0]	[8.237910865804432e-05, 0, 0]	[5.392289026691831e-05, 0, 0]	[3.7874483960156045e-05, 0, 0]	[2.812385746829035e-05, 0, 0]	[1.8943699325604303e-05, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
seem	[0, 0, 0]	[0]	[0.00022732439190725165, 0, 0]	[0.00010808473843493298, 0, 0]	[6.386511687316388e-05, 0, 0]	[4.252423881612519e-05, 0, 0]	[3.060912151821243e-05, 0, 0]	[2.003967856355584e-05, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
think	[0, 0, 0]	[0, 0, 0]	[0]	[0.000206058108386565, 0, 0]	[8.881783462119193e-05, 0, 0]	[5.230946278181723e-05, 0, 0]	[3.537193590605214e-05, 0, 0]	[2.1977055953584458e-05, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
come	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0.00015610365282547612, 0, 0]	[7.010656197420079e-05, 0, 0]	[4.270219489281749e-05, 0, 0]	[2.4600851189451156e-05, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
go	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0.00012725884448969204, 0, 0]	[5.878203620973431e-05, 0, 0]	[2.9203048798294542e-05, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
dress	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0.00010924186148131964, 0, 0]	[3.7900322152738296e-05, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
act	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[5.803493703209332e-05, 0, 0]	[0, 0, 7.556865412227008e-05]	[0, 0.0002849002849002849, 0]	[0, 0.00014947683109118088, 0]	[0, 0.00010835410120273052, 0]	[0, 8.296689620841284e-05, 0]	[0, 6.70555890833501e-05, 0]	[0, 4.8477797168896646e-05, 0]	[0, 4.1930479265378e-05, 0]	[0, 3.206258616820033e-05, 0]	[0, 0, 0.0002654632333421821]
pass	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]
run	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 0.00031446540880503143, 0]	[0, 0.00017485574401119076, 0]	[0, 0.00011705489874751258, 0]	[0, 8.769622029290537e-05, 0]	[0, 5.8418039490594695e-05, 0]	[0, 4.9166625694478586e-05, 0]	[0, 3.612847284945265e-05, 0]	[0, 0, 0]
move	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0, 0, 0]	[0]	[0, 0, 0]	[0, 0.00039385584875935406, 0]	[0, 0.00018646280067126608, 0]	[0, 0.00012161011796181443, 0]	[0, 7.174630506528914e-05, 0]	[0, 5.8278454455387845e-05, 0]	[0, 4.0817992571125354e-05, 0]	[0, 0, 0]
